ride_id,driver_id,passenger_id,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount,tip_amount,surge_multiplier,ride_status
RIDE00000000,DRV001455,PAS004092,2026-04-30 15:56:00,2026-04-30 17:56:00,37.783142,-122.41989,37.330326,-121.88829,158.87,31.0,1.0,completed
RIDE00000001,DRV000366,PAS003942,2026-04-30 14:16:00,2026-04-30 14:21:00,37.805766,-122.402186,37.821841,-122.415277,7.72,0.0,1.0,completed
RIDE00000002,DRV000524,PAS004449,2026-04-30 18:44:00,2026-04-30 18:57:00,37.783259,-122.396722,37.788339,-122.439303,24.22,0.0,1.86,completed
RIDE00000003,DRV000632,PAS000215,2026-04-30 18:53:00,,37.77819,-122.433074,,,0.0,0.0,1.0,cancelled
RIDE00000004,DRV000538,PAS002089,2026-04-30 11:41:00,2026-04-30 12:46:00,37.382845,-122.093314,37.745206,-122.428889,109.47,26.0,1.0,completed
RIDE00000005,DRV000974,PAS004658,2026-04-30 14:46:00,,37.794659,-122.399729,,,0.0,0.0,1.28,cancelled
RIDE00000006,DRV001628,PAS002078,2026-04-30 16:59:00,2026-04-30 17:07:00,37.784383,-122.405268,37.78565,-122.439944,10.24,0.0,1.0,completed
RIDE00000007,DRV001612,PAS000617,2026-04-30 08:27:00,,37.758366,-122.454264,,,0.0,0.0,1.0,cancelled
RIDE00000008,DRV000112,PAS001752,2026-04-30 14:58:00,2026-04-30 16:10:00,37.391223,-122.078635,37.783627,-122.408692,115.86,28.0,1.0,completed
RIDE00000009,DRV001590,PAS000374,2026-04-30 19:24:00,2026-04-30 19:37:00,37.775761,-122.402599,37.809045,-122.449197,16.06,0.0,1.0,completed
RIDE00000010,DRV000533,PAS000481,2026-04-30 15:20:00,2026-04-30 15:31:00,37.791902,-122.427151,37.760578,-122.43503,12.01,0.0,1.0,completed
RIDE00000011,DRV000385,PAS000975,2026-04-30 19:04:00,2026-04-30 19:10:00,37.811575,-122.406338,37.782959,-122.419831,10.24,0.0,1.0,completed
RIDE00000012,DRV001747,PAS002218,2026-04-30 07:14:00,2026-04-30 08:19:00,37.459517,-122.150857,37.339237,-121.898068,67.55,14.0,1.0,completed
RIDE00000013,DRV000348,PAS001976,2026-04-30 12:21:00,2026-04-30 12:26:00,37.744404,-122.397805,37.744284,-122.425532,8.27,0.0,1.0,completed
RIDE00000014,DRV001907,PAS003815,2026-04-30 18:56:00,2026-04-30 20:56:00,37.771553,-122.413637,37.391776,-122.084688,128.14,13.0,1.0,completed
RIDE00000015,DRV000377,PAS002383,2026-04-30 17:19:00,2026-04-30 17:54:00,37.761749,-122.408775,37.856515,-122.263638,109.06,26.0,2.6,completed
RIDE00000016,DRV000520,PAS001918,2026-04-30 20:50:00,2026-04-30 22:09:00,37.821498,-122.277441,37.325163,-121.894145,139.44,16.0,1.0,completed
RIDE00000017,DRV000638,PAS002126,2026-04-30 08:02:00,2026-04-30 10:02:00,37.811848,-122.272596,37.321966,-121.877093,194.14,25.0,1.28,completed
RIDE00000018,DRV001776,PAS004029,2026-04-30 17:32:00,2026-04-30 19:32:00,37.793361,-122.390963,37.327692,-121.903806,-156.22,17.0,1.0,completed
RIDE00000019,DRV001251,PAS003786,2026-04-30 06:29:00,2026-04-30 06:52:00,37.854462,-122.280542,37.748706,-122.444674,41.96,0.0,1.0,completed
RIDE00000020,DRV001790,PAS001420,2026-04-30 18:40:00,2026-04-30 18:45:00,37.386211,-122.080211,37.380534,-122.071442,14.31,0.0,2.49,completed
RIDE00000021,DRV001455,PAS003920,2026-04-30 09:23:00,2026-04-30 09:28:00,37.787226,-122.409813,37.775051,-122.423866,7.21,0.0,1.0,completed
RIDE00000022,DRV000225,PAS003032,2026-04-30 17:17:00,2026-04-30 17:23:00,37.855012,-122.257764,37.884587,-122.284005,11.33,2.0,1.0,completed
RIDE00000023,DRV001983,PAS001720,2026-04-30 18:05:00,2026-04-30 18:13:00,37.788887,-122.433155,37.784404,-122.427111,6.17,0.0,1.0,completed
RIDE00000024,DRV001573,PAS002419,2026-04-30 16:16:00,2026-04-30 16:34:00,37.863554,-122.285417,37.777125,-122.412105,33.63,6.0,1.0,completed
RIDE00000025,DRV000558,PAS003088,2026-04-30 16:18:00,2026-04-30 17:39:00,37.438427,-122.133299,37.793563,-122.44568,111.03,19.0,1.0,completed
RIDE00000026,DRV000634,PAS002473,2026-04-30 07:55:00,2026-04-30 08:05:00,37.38419,-122.085319,37.399745,-122.08371,19.21,3.0,2.25,completed
RIDE00000027,DRV001790,PAS002699,2026-04-30 11:12:00,2026-04-30 11:19:00,37.768948,-122.399438,37.746344,-122.432708,11.35,0.0,1.0,completed
RIDE00000028,DRV001996,PAS002485,2026-04-30 19:13:00,2026-04-30 19:20:00,37.88717,-122.278603,37.880343,-122.258547,7.95,2.0,1.0,completed
RIDE00000029,DRV000673,PAS003915,2026-04-30 09:51:00,2026-04-30 11:06:00,37.380375,-122.083872,37.786216,-122.433443,120.62,18.0,1.0,completed
